testelapse,depression_mean,age_mean,% participants
324,0.40476,0.25,0.00033
325,0.45635,0.30333,0.00196
326,0.36508,0.28667,0.00098
327,0.56349,0.28,0.0013
328,0.45238,0.43333,0.00098
329,0.36349,0.33,0.00163
330,0.14286,0.26,0.00033
331,0.45079,0.27,0.00163
332,0.2619,0.275,0.0013
333,0.27778,0.242,0.00163
334,0.25661,0.27333,0.00098
335,0.87302,0.19,0.00033
336,0.2619,0.255,0.0013
337,0.36621,0.31857,0.00228
338,0.4127,0.46,0.00033
339,0.27778,0.25,0.00033
340,0.43254,0.2,0.00065
341,0.28254,0.266,0.00163
342,0.15873,0.21,0.00033
343,0.42857,0.19,0.00033
344,0.30556,0.23,0.00065
345,0.52381,0.205,0.00065
346,0.42222,0.286,0.00163
347,0.40873,0.32,0.0013
348,0.39841,0.242,0.00163
349,0.2037,0.42333,0.00098
350,0.25595,0.3675,0.0013
351,0.55714,0.252,0.00163
352,0.28571,0.24,0.00033
353,0.56481,0.24167,0.00196
354,0.48677,0.23,0.00098
355,0.35714,0.23,0.00033
356,0.5102,0.23714,0.00228
357,0.61905,0.2,0.00033
358,0.45238,0.278,0.00163
360,0.46508,0.21,0.00163
361,0.46032,0.235,0.00065
362,0.56746,0.43,0.00065
364,0.49683,0.212,0.00163
365,0.72222,0.205,0.00065
366,0.375,0.305,0.0013
367,0.46825,0.25,0.00098
368,0.26587,0.32,0.0013
370,0.28968,0.29,0.00065
371,0.40873,0.205,0.00065
372,0.14815,0.32,0.00098
373,0.40675,0.2825,0.0013
374,0.11905,0.24,0.00033
376,0.43968,0.266,0.00163
378,0.51587,0.345,0.00065
381,0.7381,0.3,0.00033
382,0.5754,0.205,0.00065
383,0.38889,0.285,0.00065
384,0.65079,0.32,0.00065
385,0.47619,0.23,0.00033
388,0.53968,0.24,0.00098
389,0.25794,0.265,0.0013
390,0.18254,0.24,0.00033
391,0.34921,0.29333,0.00098
393,0.31746,0.2125,0.0013
394,0.61905,0.23,0.00033
395,0.40476,0.36,0.00065
396,0.18651,0.25,0.00065
397,0.07937,0.24,0.00033
402,0.48413,0.18,0.00065
403,0.46825,0.34,0.00065
404,0.32804,0.21667,0.00098
405,0.18254,0.29,0.00065
406,0.29365,0.26,0.00033
407,0.60317,0.205,0.00065
408,0.61111,0.35,0.00033
409,0.52381,0.2,0.00033
410,0.28968,0.195,0.00065
411,0.3373,0.325,0.00065
412,0.11905,0.2,0.00033
413,0.42063,0.27167,0.00196
414,0.46032,0.21,0.00065
415,0.34127,0.25,0.00033
417,0.39048,0.318,0.00163
418,0.29762,0.49,0.00065
419,0.00794,0.19,0.00033
420,0.44246,0.2725,0.0013
423,0.47619,0.23,0.00065
424,0.69841,0.2,0.00033
425,0.4246,0.17,0.00065
426,0.15079,0.2,0.00033
427,0.48016,0.22,0.00065
428,0.05556,0.2,0.00033
429,0.54762,0.19,0.00033
430,0.2381,0.23,0.00033
433,0.25397,0.24,0.00065
436,0.27381,0.25,0.00065
437,0.36111,0.195,0.00065
440,0.29365,0.295,0.00065
441,0.70635,0.26,0.00033
443,0.49206,0.19,0.00033
445,0.28175,0.275,0.00065
446,0.36243,0.36333,0.00098
447,0.26587,0.24,0.00065
448,0.43254,0.265,0.00065
450,0.34921,0.215,0.00065
451,0.47619,0.245,0.00065
452,0.36508,0.34,0.00033
454,0.37302,0.205,0.00065
455,0.47619,0.17,0.00033
457,0.0873,0.45,0.00033
461,0.40079,0.19,0.00065
463,0.53175,0.17,0.00033
465,0.80159,0.5,0.00033
466,0.57407,0.23,0.00098
467,0.40079,0.48,0.00065
473,0.55556,0.22,0.00065
474,0.21429,0.23,0.00033
475,0.30159,0.24,0.0013
478,0.41667,0.28,0.00065
479,0.76984,0.16,0.00033
480,0.27778,0.26,0.00033
481,0.44841,0.275,0.00065
482,0.23016,0.265,0.00065
484,0.60913,0.2225,0.0013
485,0.83333,0.24,0.00033
487,0.27778,0.455,0.00065
489,0.88889,0.28,0.00033
490,0.1746,0.24,0.00033
492,0.43651,0.2,0.00033
495,0.30952,0.19,0.00033
496,0.44444,0.21,0.00033
497,0.57143,0.21,0.00065
498,0.18254,0.22,0.00033
499,0.17989,0.21667,0.00098
501,0.61111,0.23,0.00033
503,0.03175,0.65,0.00033
504,0.34921,0.19,0.00033
506,0.4127,0.25,0.00033
509,0.4127,0.245,0.00065
511,0.5,0.22,0.00065
512,0.43254,0.2,0.00065
515,0.35317,0.23,0.00065
518,0.50794,0.2,0.00033
524,0.46825,0.26,0.00033
525,0.69048,0.19,0.00033
527,0.2963,0.23333,0.00098
528,0.56349,0.195,0.00065
529,0.31746,0.17,0.00033
536,0.19444,0.24,0.00065
537,0.3254,0.26,0.00033
542,0.53175,0.215,0.00065
543,0.22222,0.28,0.00033
546,0.80952,0.29,0.00033
547,0.29365,0.25,0.00033
551,0.36905,0.225,0.00065
553,0.28836,0.22333,0.00098
554,0.34921,0.45,0.00033
555,0.65873,0.36,0.00033
560,0.45238,0.42,0.00033
561,0.46825,0.215,0.00065
562,0.55159,0.21,0.00065
563,0.6746,0.22,0.00033
564,0.11111,0.17,0.00033
565,0.5873,0.2,0.00033
568,0.34656,0.20667,0.00098
569,0.42857,0.215,0.00065
570,0.06349,0.17,0.00033
571,0.68254,0.21,0.00033
576,0.59524,0.35,0.00065
577,0.66667,0.35,0.00033
578,0.4127,0.19,0.00033
579,0.33333,0.19,0.00033
580,0.31746,0.18,0.00033
585,0.3254,0.19,0.00033
588,0.59921,0.215,0.00065
589,0.42857,0.29,0.00033
590,0.10317,0.35,0.00033
593,0.54762,0.205,0.00065
595,0.38889,0.25,0.00033
596,0.34524,0.185,0.00065
598,0.55556,0.21,0.00033
603,0.61111,0.18,0.00033
607,0.71429,0.19,0.00033
608,0.63492,0.23,0.00033
612,0.65079,0.22,0.00033
613,0.61905,0.21,0.00033
614,0.43651,0.245,0.00065
617,0.71429,0.44,0.00033
625,0.53968,0.30667,0.00098
630,0.49206,0.19,0.00033
631,0.17857,0.27,0.00065
633,0.19048,0.265,0.00065
637,0.39683,0.22,0.00033
638,0.74603,0.35,0.00033
639,0.5,0.22,0.00033
640,0.86508,0.2,0.00033
644,0.38095,0.32,0.00033
648,0.73016,0.2,0.00033
650,0.13492,0.19,0.00033
657,0.14286,0.21,0.00033
660,0.37302,0.27,0.00033
665,0.10317,0.36,0.00033
666,0.62698,0.19,0.00033
667,0.59524,0.16,0.00033
673,0.06349,0.41,0.00033
674,0.25397,0.18,0.00033
676,0.56349,0.25,0.00033
681,0.28571,0.2,0.00033
684,0.4127,0.4,0.00033
687,0.43254,0.405,0.00065
695,0.59524,0.19,0.00033
697,0.06349,0.26,0.00033
701,0.60317,0.25,0.00033
716,0.7619,0.23,0.00033
718,0.21429,0.18,0.00065
719,0.19048,0.25,0.00033
723,0.30159,0.18,0.00033
730,0.39683,0.24,0.00033
731,0.23016,0.18,0.00033
733,0.57937,0.21,0.00033
741,0.38889,0.18,0.00033
751,0.54762,0.2,0.00033
