source,target,value
asian,asexual,2
asian,asexual,42
female,white,2
arab,homosexual,2
bisexual,moderate,1
asian,asexual,4
other,severe,1
female,other,2
homosexual,severe,1
black,heterosexual,4
male,asian,18
female,black,1
black,heterosexual,7
asian,other,6
white,other,2
female,other,14
other,severe,1
other,asexual,2
white,bisexual,20
female,white,44
male,other,1
female,indigenous australian,1
heterosexual,severe,2
male,asian,24
heterosexual,extremely_severe,53
female,white,2
female,arab,2
asian,heterosexual,18
heterosexual,extremely_severe,1
female,other,3
female,black,1
asian,heterosexual,24
homosexual,severe,1
black,heterosexual,2
homosexual,extremely_severe,44
bisexual,extremely_severe,1
asexual,normal,1
female,other,1
other,mild,2
female,other,2
bisexual,severe,9
female,asian,2
black,homosexual,1
asian,bisexual,2
asian,asexual,1
female,native american,10
other,other,1
other,mild,1
female,arab,1
black,homosexual,1
white,other,2
arab,heterosexual,2
male,asian,6
asian,heterosexual,74
black,asexual,1
white,asexual,3
bisexual,extremely_severe,1
other,other,2
homosexual,extremely_severe,7
white,asexual,3
homosexual,extremely_severe,4
white,heterosexual,117
male,other,9
arab,heterosexual,8
asexual,extremely_severe,8
asian,other,4
asexual,normal,4
homosexual,mild,1
heterosexual,mild,66
bisexual,mild,9
bisexual,extremely_severe,91
white,homosexual,1
male,other,1
white,bisexual,190
female,asian,6
male,other,4
female,arab,2
female,white,9
other,asian,1
other,asian,1
white,asexual,2
other,white,1
asexual,mild,3
female,white,3
male,white,34
other,other,1
white,homosexual,3
other,normal,1
asexual,severe,2
asexual,normal,1
bisexual,moderate,1
female,white,25
homosexual,severe,6
female,other,4
female,white,3
female,white,602
female,black,10
white,homosexual,6
homosexual,severe,1
bisexual,extremely_severe,17
white,heterosexual,1
male,white,81
bisexual,extremely_severe,2
female,indigenous australian,1
heterosexual,mild,1
asian,bisexual,5
arab,heterosexual,21
male,white,1
other,bisexual,3
other,other,1
bisexual,normal,20
male,black,14
female,asian,9
homosexual,moderate,3
heterosexual,normal,4
male,white,64
male,asian,1
female,native american,1
white,asexual,2
heterosexual,mild,2
other,heterosexual,11
other,other,4
male,asian,2
other,other,1
other,heterosexual,104
arab,heterosexual,3
black,homosexual,1
other,normal,2
black,bisexual,13
arab,other,1
female,asian,482
heterosexual,normal,13
homosexual,mild,1
asexual,extremely_severe,1
asexual,extremely_severe,1
heterosexual,extremely_severe,104
asian,asexual,5
asexual,extremely_severe,1
homosexual,extremely_severe,9
heterosexual,severe,74
heterosexual,mild,18
other,asian,1
white,heterosexual,119
asian,heterosexual,135
asian,asexual,1
other,homosexual,7
black,bisexual,2
male,asian,1
male,black,1
female,asian,91
heterosexual,normal,3
native american,other,1
female,asian,10
asexual,severe,2
female,asian,4
other,heterosexual,25
other,white,1
asian,bisexual,9
male,white,1
white,asexual,2
male,other,1
white,other,2
white,asexual,3
white,homosexual,35
male,native american,5
white,bisexual,2
homosexual,severe,3
male,other,11
white,heterosexual,81
homosexual,moderate,2
heterosexual,extremely_severe,135
black,heterosexual,3
other,extremely_severe,5
bisexual,severe,3
heterosexual,mild,2
male,native american,1
male,other,17
arab,asexual,2
native american,heterosexual,10
female,white,14
heterosexual,extremely_severe,10
heterosexual,moderate,2
other,asexual,2
other,normal,6
heterosexual,extremely_severe,21
white,bisexual,14
male,arab,8
other,extremely_severe,1
female,other,18
asexual,extremely_severe,1
